Date,Open,Diff_1,Detrended,Detrended_9,Detrended_10,Log,Log_Diff
2017-01-01,963.6580200195312,,4232.513613365229,-3208.1787398211345,-3538.1667161642727,6.870736480654434,
2017-01-02,998.6170043945312,34.958984375,4249.151338303684,-3173.2197554461345,-3503.2077317892727,6.906371326155589,0.035634845501154366
2017-01-03,1021.5999755859376,22.982971191406364,4253.813050058546,-3150.236784254753,-3480.2247605978664,6.929125280820461,0.02275395466487229
2017-01-04,1044.4000244140625,22.800048828124886,4258.291839450126,-3127.4367354268816,-3457.4247117697423,6.951197860201135,0.02207257938067375
2017-01-05,1156.72998046875,112.3299560546875,4352.300536068269,-3015.1067793734774,-3345.0947557150603,7.053352320932138,0.1021544607310032
2017-01-06,1014.239990234375,-142.489990234375,4191.489286397349,-3157.5967696122343,-3487.584745949457,6.921894832907341,-0.13145748802479673
2017-01-07,903.4869995117188,-110.75299072265625,4062.415036238148,-3268.349760346653,-3598.337736672186,6.806261720899118,-0.11563311200822302
2017-01-08,908.1749877929688,4.68798828125,4048.7817650828533,-3263.6617720922386,-3593.6497483911307,6.8114370778672635,0.005175356968145195
2017-01-09,913.2440185546876,5.069030761718864,4035.5295364080275,-3258.592741384992,-3588.5807176298676,6.817003116028635,0.0055660381613718
2017-01-10,902.4400024414062,-10.804016113281364,4006.4042608582013,-3269.3967575995193,-3599.3847337441057,6.80510220870789,-0.011900907320745446
2017-01-11,908.114990234375,5.67498779296875,3993.7579892146255,-3263.7217699822377,-3593.7097459529923,6.811371011810255,0.006268803102365439
2017-01-12,775.177978515625,-132.93701171875,3842.499718059331,-3396.6587819895058,-3726.6467576751074,6.653092652685472,-0.15827835912478339
2017-01-13,803.7369995117188,28.55902099609375,3852.7374796188797,-3368.0997614463095,-3698.0877366847963,6.6892721006299976,0.036179447944525656
2017-01-14,825.1420288085938,21.405029296875,3855.82124947921,-3346.694732834085,-3676.682707397419,6.715555527649143,0.026283427019145655
2017-01-15,818.1420288085938,-7.0,3830.4999900426656,-3353.694733836587,-3683.682707412436,6.707035950881275,-0.008519576767867854
2017-01-16,821.7830200195312,3.6409912109375,3815.819721817058,-3350.0537440539483,-3680.041716224471,6.711476394298067,0.00444044341679195
